seq,pitch,roll,yaw,xVelocity,yVelocity,zVelocity,altitude
64930,-5.314,-3.224,119.82,0,0,0,0
64931,-5.762,-3.475,119.829,0,0,0,0
64932,-5.682,-3.423,119.8,0,0,0,0
64933,-5.833,-3.315,119.646,0,0,0,0
64934,-5.993,-3.248,119.443,0,0,0,0
64935,-6.04,-3.38,119.42,0,0,0,0
64937,-6.166,-3.619,119.84,0,0,0,0
64938,-6.167,-3.448,119.808,0,0,0,0
64939,-6.103,-3.347,119.787,0,0,0,0
64940,-6.181,-3.291,120.012,0,0,0,0
64941,-6.455,-3.088,120.063,0,0,0,0
64942,-6.836,-3.024,119.657,0,0,0,0
64943,-6.828,-3.13,119.212,0,0,0,0
64944,-6.694,-3.271,119.284,0,0,0,0
64945,-6.472,-3.278,119.504,0,0,0,0
64946,-6.497,-3.18,119.522,0,0,0,0
64947,-6.213,-3.098,119.079,0,0,0,0
64948,-5.736,-3.012,118.741,0,0,0,0
64949,-5.437,-3.168,118.82,0,0,0,0
64950,-5.38,-3.787,119.013,0,0,0,0
64951,-5.31,-3.954,118.889,0,0,0,0
64952,-5.62,-3.884,118.083,0,0,0,0
64953,-6.196,-4.216,117.899,0,0,0,0
64954,-6.449,-5.001,118.258,0,0,0,0
64955,-5.65,-5.22,117.818,0,0,0,0
64956,-5.964,-5.148,117.183,0,0,0,0
64957,-7.347,-5.566,116.993,0,0,0,0
64958,-7.447,-5.88,115.524,0,0,0,0
64959,-5.548,-5.482,113.502,0,0,0,0
64960,-4.778,-6.924,113.024,0,0,0,0
64961,-6.201,-9.428,114.265,0,0,0,0
64963,-3.663,-8.315,111.272,0,0,0,0
64964,-2.217,-6.812,108.57,0,0,0,0
64965,-1.259,-5.401,106.547,0,0,0,0
64966,-0.625,-4.382,105.182,0,0,0,0
64967,1.533,-5.04,102.308,0,0,0,0
64968,3.436,-6.019,99.538,0,0,0,0
64969,3.091,-6.302,99.195,0,0,0,0
64970,-0.408,-6.205,98.575,0,0,0,0
64971,-5.694,-5.038,96.678,0,0,0,0
64972,-8.467,-2.542,95.546,0,0,0,0
64973,-9.371,-1.723,95.934,0,0,0,0
64974,-9.91,-4.342,98.515,0,0,0,0
64976,-11.393,-6.683,100.503,0,0,0,0
64977,-13.493,-6.222,99.804,0,0,0,0
64978,-13.982,-6.547,99.41,0,0,0,0
64979,-11.925,-8.43,99.162,0,0,0,0
64982,-16.727,-11.351,104.907,0,0,0,0
64983,-20.406,-11.033,108.536,0,0,0,0
64984,-25.441,-8.948,113.032,0,0,0,0
64985,-26.833,-4.604,115.693,0,0,0,0
64986,-27.048,0.34,117.754,0,0,0,0
64987,-26.029,0.515,121.793,0,0,0,0
64988,-25.384,0.766,125.273,0,0,0,0
64989,-25.184,1.506,126.999,0,0,0,0
64990,-26.454,3.178,127.122,0,0,0,0
64991,-30.107,5.754,125.375,0,0,0,0
64992,-33.474,5.94,123.913,0,0,0,0
64993,-35.215,5.563,126.553,0,0,0,0
64994,-36.561,6.693,129.759,0,0,0,0
64995,-37.144,7.737,132.819,0,0,0,0
64996,-38.863,7.477,137.411,0,0,0,0
64997,-41.067,5.351,144.669,0,0,0,0
65050,0.641,-0.67,178.862,0,0,0,0
65051,0.7,-0.589,178.778,0,0,0,0
65052,0.824,-0.293,178.517,0,0,0,0
65053,0.795,-0.357,178.6,0,0,0,0
65054,1.114,-0.154,178.252,0,0,0,0
65055,1.191,0.064,178.002,0,0,0,0
65056,1.182,0.111,177.986,0,0,0,0
65057,0.838,0.053,178.037,0,0,0,0
65058,0.136,-0.122,178.181,0,0,0,0
65059,-0.092,-0.029,177.974,0,0,0,0
65061,0.219,0.478,177.277,0,0,0,0
65062,-0.05,0.316,177.206,0,0,0,0
65063,-0.139,0.328,177.418,0,0,0,0
65064,-0.32,0.334,177.375,0,0,0,0
65065,-0.186,0.473,176.91,0,0,0,0
65066,0.058,0.25,176.861,0,0,0,0
65067,0.157,0.686,176.824,0,0,0,0
65068,0.321,0.887,176.697,0,0,0,0
65069,0.218,1.293,176.316,0,0,0,0
65070,-0.331,1.338,176.164,0,0,0,0
65071,-1.169,1.542,176.822,0,0,0,0
65072,0.128,1.054,179.073,0,0,0,0
65073,-0.32,-0.451,-179.751,0,0,0,0
65074,-0.62,-0.352,-179.591,0,0,0,0
65075,-0.647,-0.387,-179.561,0,0,0,0
65076,-0.658,-0.403,-179.503,0,0,0,0
65077,-0.651,-0.378,-179.494,0,0,0,0
65078,-0.473,0.022,-179.842,0,0,0,0
65079,-0.775,-0.035,-179.75,0,0,0,0
65080,-0.9,-0.393,-179.221,0,0,0,0
65081,-0.997,-1.427,-174.87,0,0,0,0
65082,-0.791,-1.116,-174.484,0,0,0,0
65083,-0.8,-1.019,-174.585,0,0,0,0
65084,-0.838,-0.98,-174.608,0,0,0,0
65085,-0.92,-1.351,-174.433,0,0,0,0
65086,-0.922,-1.317,-174.398,0,0,0,0
65087,-1.206,-1.095,-174.593,0,0,0,0
65088,-1.415,-0.812,-175.002,0,0,0,0
65089,-1.509,-0.949,-174.969,0,0,0,0
65091,-2.3,-1.777,-173.764,0,0,0,0
65092,-1.594,-1.396,-172.892,0,0,0,0
65093,-1.269,-0.675,-172.704,0,0,0,0
65094,-1.598,-0.396,-172.788,0,0,0,0
65095,-1.613,-0.334,-172.668,0,0,0,0
65096,-0.355,0.541,-173.075,0,0,0,0
65097,0.136,0.873,-174.052,0,0,0,0
65098,-0.366,-0.894,-174.433,0,0,0,0
65099,-0.555,-1.269,-174.351,0,0,0,0
65100,-0.375,-1.009,-174.029,0,0,0,0
65101,0,0.21,-173.747,0,0,0,0
65102,-0.095,-0.248,-173.998,0,0,0,0
65103,0.268,-0.952,-174.345,0,0,0,0
65104,0.193,-0.747,-174.459,0,0,0,0
65105,-0.227,-0.329,-174.132,0,0,0,0
65106,-0.614,-0.706,-173.131,0,0,0,0
65107,-0.765,-0.329,-172.071,0,0,0,0
65108,-0.121,0.099,-171.038,0,0,0,0
65109,0.315,0.826,-170.876,0,0,0,0
65110,0,0.808,-170.793,0,0,0,0
65111,0.107,0.896,-170.768,0,0,0,0
65112,0.58,1.157,-170.688,0,0,0,0
65113,0.716,1.314,-170.639,0,0,0,0
65114,0.277,1.409,-170.761,0,0,0,0
65115,-0.107,1.322,-170.924,0,0,0,0
65116,-0.356,1.365,-170.934,0,0,0,0
65117,-0.011,1.44,-169.184,0,0,0,0
65118,0.238,1.249,-166.478,0,0,0,0
65119,0.178,1.139,-166.586,0,0,0,0
65120,0.058,1.081,-166.677,0,0,0,0
65121,-0.339,0.758,-166.873,0,0,0,0
65122,-0.042,1.091,-167.142,0,0,0,0
65123,0.596,1.384,-167.282,0,0,0,0
65124,0.617,0.465,-167.003,0,0,0,0
65125,0.267,-0.287,-166.972,0,0,0,0
65126,-0.081,-0.189,-167.003,0,0,0,0
65127,-0.331,-0.342,-167.011,0,0,0,0
65128,-0.382,-0.378,-166.921,0,0,0,0
65129,-0.411,-0.385,-166.909,0,0,0,0
65130,-0.43,-0.388,-166.903,0,0,0,0
65131,-0.441,-0.378,-166.901,0,0,0,0
65132,-0.452,-0.367,-166.9,0,0,0,0
65133,-0.46,-0.361,-166.893,0,0,0,0
65134,-0.465,-0.353,-166.884,0,0,0,0
65135,-0.465,-0.344,-166.88,0,0,0,0
65136,-0.465,-0.331,-166.877,0,0,0,0
65137,-0.467,-0.32,-166.875,0,0,0,0
65138,-0.467,-0.313,-166.874,0,0,0,0
65140,-0.467,-0.287,-166.866,0,0,0,0
65141,-0.467,-0.275,-166.862,0,0,0,0
