seq,pitch,roll,yaw,xVelocity,yVelocity,zVelocity,altitude
51473,-26.764,18.509,-82.132,0,0,0,0
51474,-27.133,18.21,-81.267,0,0,0,0
51475,-27.582,17.957,-80.355,0,0,0,0
51476,-27.998,17.845,-79.555,0,0,0,0
51477,-28.358,17.781,-79.035,0,0,0,0
51478,-28.669,17.648,-78.752,0,0,0,0
51479,-28.838,17.612,-78.876,0,0,0,0
51480,-28.878,17.6,-79.274,0,0,0,0
51481,-28.887,17.646,-79.719,0,0,0,0
51482,-28.819,17.932,-80.317,0,0,0,0
51483,-28.778,18.035,-80.888,0,0,0,0
51484,-28.786,18.131,-81.391,0,0,0,0
51485,-28.874,18.222,-81.694,0,0,0,0
51486,-29.056,18.185,-81.717,0,0,0,0
51487,-29.198,18.03,-81.506,0,0,0,0
51488,-29.38,17.885,-81.081,0,0,0,0
51489,-29.54,17.739,-80.443,0,0,0,0
51490,-29.64,17.515,-79.704,0,0,0,0
51491,-29.676,17.346,-79.019,0,0,0,0
51492,-29.747,17.097,-78.417,0,0,0,0
51493,-29.752,16.949,-77.976,0,0,0,0
51494,-29.851,16.88,-77.657,0,0,0,0
51495,-30.017,16.998,-77.468,0,0,0,0
51496,-30.204,17.243,-77.42,0,0,0,0
51497,-30.231,17.388,-77.549,0,0,0,0
51498,-30.208,17.415,-77.769,0,0,0,0
51499,-30.199,17.52,-77.957,0,0,0,0
51500,-30.225,17.578,-78.036,0,0,0,0
51501,-30.278,17.509,-78.002,0,0,0,0
51502,-30.356,17.452,-77.919,0,0,0,0
51503,-30.443,17.403,-77.835,0,0,0,0
51504,-30.6,17.24,-77.666,0,0,0,0
51505,-30.767,17.176,-77.45,0,0,0,0
51506,-30.942,17.12,-77.184,0,0,0,0
51507,-31.071,17.061,-76.913,0,0,0,0
51508,-31.204,16.95,-76.602,0,0,0,0
51509,-31.285,16.951,-76.333,0,0,0,0
51510,-31.348,16.97,-76.108,0,0,0,0
51511,-31.368,16.99,-75.967,0,0,0,0
51512,-31.352,17.065,-75.966,0,0,0,0
51513,-31.36,17.069,-75.964,0,0,0,0
51514,-31.448,17.049,-75.898,0,0,0,0
51515,-31.605,17.042,-75.755,0,0,0,0
51516,-31.82,16.922,-75.569,0,0,0,0
51517,-32.032,16.827,-75.365,0,0,0,0
51518,-32.232,16.767,-75.156,0,0,0,0
51519,-32.32,16.805,-74.946,0,0,0,0
51520,-32.282,16.81,-74.865,0,0,0,0
51521,-32.181,16.788,-74.823,0,0,0,0
51522,-32.122,16.899,-74.829,0,0,0,0
51523,-32.131,16.968,-74.83,0,0,0,0
51524,-32.215,16.961,-74.818,0,0,0,0
51525,-32.363,16.938,-74.777,0,0,0,0
51526,-32.531,16.894,-74.698,0,0,0,0
