seq,pitch,roll,yaw,xVelocity,yVelocity,zVelocity,altitude
58725,14.523,10.131,7.41,0,0,0,0
58726,14.525,10.059,7.287,0,0,0,0
58727,14.498,10.07,7.197,0,0,0,0
58728,14.552,10.21,7.062,0,0,0,0
58729,14.494,10.299,6.869,0,0,0,0
58730,14.254,10.263,6.833,0,0,0,0
58731,13.921,10.194,6.937,0,0,0,0
58732,14.032,9.84,6.665,0,0,0,0
58734,16.24,7.807,5.357,0,0,0,0
58735,16.935,7.198,5.357,0,0,0,0
58736,17.207,7.097,5.381,0,0,0,0
58737,17.388,7.663,5.583,0,0,0,0
58738,15.682,9.781,6.569,0,0,0,0
58739,15.237,10.591,6.429,0,0,0,0
58740,14.739,10.808,6.581,0,0,0,0
58741,14.751,10.787,6.567,0,0,0,0
58742,14.715,10.812,6.561,0,0,0,0
58743,14.751,10.811,6.589,0,0,0,0
58744,14.851,10.759,6.643,0,0,0,0
58745,14.993,10.682,6.603,0,0,0,0
58746,15.083,10.679,6.548,0,0,0,0
58747,15.18,10.66,6.477,0,0,0,0
58748,15.215,10.598,6.398,0,0,0,0
58749,15.204,10.624,6.419,0,0,0,0
58750,15.159,10.68,6.429,0,0,0,0
58751,15.151,10.711,6.444,0,0,0,0
58752,15.193,10.74,6.436,0,0,0,0
58753,15.231,10.76,6.348,0,0,0,0
58754,15.244,10.745,6.294,0,0,0,0
58755,15.212,10.745,6.322,0,0,0,0
58756,15.169,10.742,6.385,0,0,0,0
58757,15.171,10.761,6.465,0,0,0,0
58758,15.184,10.8,6.475,0,0,0,0
58759,15.192,10.821,6.422,0,0,0,0
58760,15.175,10.825,6.423,0,0,0,0
58761,15.153,10.837,6.456,0,0,0,0
58762,15.133,10.853,6.522,0,0,0,0
58763,15.127,10.877,6.548,0,0,0,0
58764,15.122,10.897,6.555,0,0,0,0
58765,15.08,10.931,6.575,0,0,0,0
58766,15.072,10.983,6.661,0,0,0,0
58767,15.08,11.016,6.753,0,0,0,0
58768,15.077,11.055,6.827,0,0,0,0
58769,15.128,11.132,6.874,0,0,0,0
58770,15.219,11.194,6.99,0,0,0,0
58771,15.231,11.202,7.016,0,0,0,0
58772,15.143,11.119,7.045,0,0,0,0
58773,14.909,11.264,7.294,0,0,0,0
58774,14.846,11.352,7.558,0,0,0,0
58775,15.008,11.49,7.833,0,0,0,0
58776,15.193,11.647,8.045,0,0,0,0
58777,15.659,11.867,8.528,0,0,0,0
58778,16.312,12.37,8.837,0,0,0,0
58779,16.35,12.566,8.798,0,0,0,0
58780,16.008,12.418,8.59,0,0,0,0
58781,15.899,12.565,8.407,0,0,0,0
58782,15.752,12.861,8.306,0,0,0,0
58783,15.83,13.592,8.567,0,0,0,0
58784,15.49,13.994,8.776,0,0,0,0
58785,15.188,14.257,9.019,0,0,0,0
58786,15.061,14.393,9.148,0,0,0,0
58787,15.197,14.365,9.122,0,0,0,0
58788,15.299,14.36,9.036,0,0,0,0
58789,15.255,14.366,8.95,0,0,0,0
58790,15.197,14.366,8.931,0,0,0,0
58791,15.075,14.416,8.949,0,0,0,0
58792,14.912,14.444,8.97,0,0,0,0
58793,14.672,14.502,9.006,0,0,0,0
58794,14.444,14.664,9.119,0,0,0,0
58795,13.815,15.016,9.218,0,0,0,0
58796,12.958,15.298,9.313,0,0,0,0
58797,12.093,15.613,9.484,0,0,0,0
58798,11.434,16.025,9.862,0,0,0,0
58799,11.729,16.037,9.899,0,0,0,0
58800,12.835,15.571,9.474,0,0,0,0
58801,13.364,15.337,8.973,0,0,0,0
58802,13.799,15.058,8.356,0,0,0,0
58803,13.95,14.935,7.928,0,0,0,0
58804,14.178,14.803,7.642,0,0,0,0
58805,14.433,14.751,7.42,0,0,0,0
58806,14.761,14.796,7.228,0,0,0,0
58807,15.227,15.019,7.068,0,0,0,0
58808,15.989,15.656,7,0,0,0,0
58809,16.973,16.527,6.91,0,0,0,0
58810,17.863,17.521,6.987,0,0,0,0
58811,18.328,18.358,7.326,0,0,0,0
58812,17.961,18.141,7.44,0,0,0,0
58813,17.787,18.149,7.75,0,0,0,0
58814,17.68,18.186,7.967,0,0,0,0
58815,17.602,18.199,8.085,0,0,0,0
58816,17.581,18.191,8.146,0,0,0,0
58817,17.598,18.242,8.207,0,0,0,0
58818,17.607,18.253,8.23,0,0,0,0
58819,17.631,18.318,8.26,0,0,0,0
58820,17.67,18.374,8.297,0,0,0,0
58821,17.701,18.392,8.306,0,0,0,0
58822,17.72,18.416,8.303,0,0,0,0
58823,17.739,18.432,8.311,0,0,0,0
58824,17.751,18.46,8.337,0,0,0,0
58825,17.773,18.471,8.35,0,0,0,0
58826,17.785,18.473,8.356,0,0,0,0
58827,17.801,18.48,8.349,0,0,0,0
58828,17.816,18.477,8.344,0,0,0,0
58829,17.828,18.479,8.352,0,0,0,0
58830,17.832,18.484,8.348,0,0,0,0
58831,17.845,18.491,8.342,0,0,0,0
58832,17.846,18.5,8.354,0,0,0,0
58833,17.84,18.507,8.363,0,0,0,0
58834,17.834,18.5,8.377,0,0,0,0
58835,17.818,18.518,8.41,0,0,0,0
58836,17.808,18.505,8.445,0,0,0,0
58837,17.809,18.518,8.504,0,0,0,0
58838,17.815,18.531,8.54,0,0,0,0
58839,17.817,18.556,8.555,0,0,0,0
58840,17.819,18.574,8.574,0,0,0,0
58841,17.82,18.585,8.589,0,0,0,0
58842,17.829,18.615,8.606,0,0,0,0
58843,17.826,18.621,8.637,0,0,0,0
58844,17.815,18.628,8.68,0,0,0,0
58845,17.808,18.635,8.715,0,0,0,0
58846,17.8,18.642,8.73,0,0,0,0
58847,17.808,18.653,8.746,0,0,0,0
58848,17.819,18.659,8.739,0,0,0,0
58849,17.822,18.67,8.74,0,0,0,0
58850,17.819,18.666,8.745,0,0,0,0
58851,17.823,18.645,8.748,0,0,0,0
58852,17.85,18.673,8.744,0,0,0,0
58853,17.859,18.689,8.749,0,0,0,0
58854,17.855,18.701,8.757,0,0,0,0
58855,17.841,18.713,8.782,0,0,0,0
58856,17.847,18.727,8.821,0,0,0,0
58857,17.855,18.722,8.835,0,0,0,0
58858,17.855,18.735,8.856,0,0,0,0
58859,17.849,18.75,8.879,0,0,0,0
58860,17.847,18.755,8.886,0,0,0,0
58861,17.844,18.749,8.892,0,0,0,0
58862,17.84,18.745,8.906,0,0,0,0
58863,17.852,18.744,8.916,0,0,0,0
58864,17.879,18.751,8.926,0,0,0,0
58865,17.902,18.755,8.93,0,0,0,0
58866,17.907,18.749,8.924,0,0,0,0
58867,17.908,18.763,8.926,0,0,0,0
58868,17.905,18.767,8.931,0,0,0,0
58869,17.915,18.799,8.956,0,0,0,0
58870,17.919,18.807,8.983,0,0,0,0
58871,17.93,18.817,9.014,0,0,0,0
58872,17.943,18.82,9.041,0,0,0,0
58873,17.95,18.825,9.058,0,0,0,0
58874,17.939,18.819,9.065,0,0,0,0
58875,17.95,18.817,9.074,0,0,0,0
58876,17.951,18.821,9.095,0,0,0,0
58877,17.965,18.817,9.116,0,0,0,0
58878,17.983,18.822,9.135,0,0,0,0
58879,17.999,18.824,9.137,0,0,0,0
58880,18.005,18.821,9.131,0,0,0,0
58881,17.993,18.815,9.125,0,0,0,0
58882,17.998,18.827,9.131,0,0,0,0
58883,17.997,18.817,9.139,0,0,0,0
58884,18.011,18.822,9.156,0,0,0,0
58885,18.017,18.812,9.162,0,0,0,0
58886,18.018,18.816,9.167,0,0,0,0
58887,18.021,18.811,9.161,0,0,0,0
58888,18.009,18.822,9.164,0,0,0,0
58889,18.012,18.835,9.18,0,0,0,0
58890,18.011,18.837,9.195,0,0,0,0
58891,18.011,18.829,9.212,0,0,0,0
58892,18.011,18.82,9.23,0,0,0,0
58893,18.008,18.823,9.25,0,0,0,0
58894,18.011,18.827,9.254,0,0,0,0
58895,18.008,18.839,9.263,0,0,0,0
58896,18.001,18.836,9.274,0,0,0,0
58897,17.988,18.831,9.291,0,0,0,0
58898,18.002,18.836,9.303,0,0,0,0
58899,18.017,18.83,9.313,0,0,0,0
58900,18.025,18.822,9.326,0,0,0,0
58901,18.021,18.818,9.331,0,0,0,0
58902,18.021,18.823,9.335,0,0,0,0
58903,18.013,18.839,9.347,0,0,0,0
58904,18.006,18.836,9.361,0,0,0,0
58905,18.007,18.833,9.369,0,0,0,0
58906,18.016,18.827,9.374,0,0,0,0
58907,18.017,18.821,9.386,0,0,0,0
58908,18.012,18.82,9.387,0,0,0,0
58909,18.017,18.848,9.399,0,0,0,0
58910,18.016,18.847,9.405,0,0,0,0
58911,18.025,18.845,9.415,0,0,0,0
58912,18.032,18.839,9.423,0,0,0,0
58913,18.037,18.845,9.435,0,0,0,0
58914,18.038,18.841,9.437,0,0,0,0
58915,18.037,18.839,9.438,0,0,0,0
58916,18.027,18.84,9.446,0,0,0,0
58917,18.024,18.826,9.451,0,0,0,0
58918,18.034,18.834,9.468,0,0,0,0
58919,18.037,18.822,9.477,0,0,0,0
58920,18.027,18.814,9.478,0,0,0,0
58921,18.021,18.817,9.487,0,0,0,0
58922,18.025,18.82,9.504,0,0,0,0
58923,18.022,18.813,9.51,0,0,0,0
58924,18.044,18.822,9.513,0,0,0,0
58925,18.056,18.823,9.52,0,0,0,0
58926,18.051,18.814,9.528,0,0,0,0
58927,18.043,18.818,9.542,0,0,0,0
58928,18.036,18.807,9.554,0,0,0,0
58929,18.037,18.813,9.576,0,0,0,0
58930,18.037,18.812,9.586,0,0,0,0
58931,18.04,18.803,9.586,0,0,0,0
58932,18.043,18.792,9.583,0,0,0,0
58934,18.014,18.793,9.601,0,0,0,0
58935,18.01,18.796,9.612,0,0,0,0
58936,18.017,18.79,9.617,0,0,0,0
58937,18.014,18.785,9.624,0,0,0,0
58938,18.006,18.781,9.637,0,0,0,0
58939,18.007,18.776,9.643,0,0,0,0
58940,18.007,18.775,9.649,0,0,0,0
58941,18,18.786,9.663,0,0,0,0
58943,18.019,18.777,9.691,0,0,0,0
58944,18.002,18.778,9.716,0,0,0,0
58945,17.985,18.78,9.735,0,0,0,0
58946,17.981,18.771,9.765,0,0,0,0
58947,18,18.788,9.792,0,0,0,0
58948,17.999,18.781,9.79,0,0,0,0
58949,18.013,18.788,9.782,0,0,0,0
58950,18.024,18.793,9.774,0,0,0,0
58951,18.023,18.781,9.761,0,0,0,0
58952,18.009,18.773,9.749,0,0,0,0
58953,18.001,18.768,9.737,0,0,0,0
58954,17.996,18.771,9.736,0,0,0,0
58955,18.009,18.778,9.736,0,0,0,0
58956,18.019,18.771,9.735,0,0,0,0
58957,18.011,18.783,9.747,0,0,0,0
58958,17.987,18.769,9.759,0,0,0,0
58959,17.974,18.781,9.788,0,0,0,0
58960,17.966,18.797,9.823,0,0,0,0
58961,17.975,18.794,9.827,0,0,0,0
58962,17.977,18.802,9.831,0,0,0,0
58963,17.965,18.787,9.825,0,0,0,0
58964,17.947,18.797,9.845,0,0,0,0
58965,17.938,18.794,9.873,0,0,0,0
58966,17.937,18.806,9.9,0,0,0,0
58967,17.944,18.8,9.916,0,0,0,0
58968,17.949,18.805,9.925,0,0,0,0
58969,17.946,18.826,9.931,0,0,0,0
58970,17.934,18.807,9.925,0,0,0,0
58971,17.931,18.816,9.938,0,0,0,0
58972,17.93,18.806,9.949,0,0,0,0
58973,17.921,18.81,9.967,0,0,0,0
58974,17.914,18.8,9.977,0,0,0,0
58975,17.907,18.786,9.976,0,0,0,0
